prompt,pinky_id,pinky_task,pinky_response,table_id
2번 핑키 1 테이블 청소해,2,cleaning,네! 1번 테이블을 깨끗하게 정리하러 가겠습니다 🧹,1
1번 핑키 3 테이블 청소 부탁해,1,cleaning,3번 테이블로 바로 가서 청소할게요 🧼,3
3번 핑키 5 테이블 바닥 닦아줘,3,cleaning,5번 테이블 바닥을 깨끗이 닦겠습니다 💦,5
핑키들 2 테이블 청소 시작해,"",cleaning,2번 테이블 청소를 시작하겠습니다 🧹,2
4번 핑키 4 테이블 주변 정리해줘,4,cleaning,4번 테이블 주변을 깔끔하게 정리할게요 ✨,4
핑키야 6 테이블 물기 제거해,"",cleaning,6번 테이블 물기를 신속히 제거하겠습니다 💧,6
2번 핑키 7 테이블 바닥 청소해,2,cleaning,7번 테이블 바닥 청소 바로 진행하겠습니다 🧽,7
1번 핑키 8 테이블 닦아줘,1,cleaning,8번 테이블 닦으러 가겠습니다 🧹,8
핑키들 9 테이블 정리해,"",cleaning,9번 테이블을 말끔히 정리하겠습니다 🛋️,9
3번 핑키 10 테이블 얼룩 제거해,3,cleaning,10번 테이블 얼룩을 제거하겠습니다 🧽,10
2 테이블 바닥 닦아 1번 핑키,1,cleaning,2번 테이블 바닥을 깨끗하게 닦겠습니다 🧼,2
5 테이블 주변 청소해 3번 핑키,3,cleaning,5번 테이블 주변을 청소하겠습니다 🧹,5
6 테이블 청소 요청 4번 핑키,4,cleaning,6번 테이블 청소를 시작할게요 🧽,6
7 테이블 깔끔하게 정리해 2번 핑키,2,cleaning,7번 테이블을 깔끔히 정리하겠습니다 ✨,7
8 테이블 깨끗이 닦아줘 1번 핑키,1,cleaning,8번 테이블을 깨끗이 닦겠습니다 🧽,8
9 테이블 물기 제거해 핑키들,"",cleaning,9번 테이블 물기를 제거할게요 💧,9
10 테이블 정돈 요청 3번 핑키,3,cleaning,10번 테이블을 정돈하겠습니다 🛋️,10
1 테이블 위생 청소해 1번 핑키,1,cleaning,1번 테이블 위생 청소 완료하겠습니다 🧼,1
2 테이블 먼지 제거해 2번 핑키,2,cleaning,2번 테이블 먼지를 제거하겠습니다 🧹,2
3 테이블 바닥 정리해 3번 핑키,3,cleaning,3번 테이블 바닥을 정리합니다 🧽,3
4 테이블 주변 쓰레기 치워 핑키들,"",cleaning,4번 테이블 주변 쓰레기를 치우겠습니다 🗑️,4
5 테이블 얼룩 닦아줘 4번 핑키,4,cleaning,5번 테이블 얼룩을 깨끗이 닦겠습니다 💦,5
6 테이블 청소 시작해 1번 핑키,1,cleaning,6번 테이블 청소 시작합니다 🧹,6
7 테이블 깔끔히 정리해 2번 핑키,2,cleaning,7번 테이블을 깔끔히 정리하겠습니다 ✨,7
8 테이블 정리 요청 핑키들,"",cleaning,8번 테이블을 깔끔히 정리할게요 🧹,8
9 테이블 위생 점검해줘 3번 핑키,3,cleaning,9번 테이블 위생 점검하겠습니다 🧼,9
10 테이블 청소 완료해 1번 핑키,1,cleaning,10번 테이블 청소 완료했습니다 🧽,10
1번 핑키 1 테이블 빠르게 청소해,1,cleaning,1번 테이블 빠르게 정리하겠습니다 🧹,1
2번 핑키 2 테이블 얼룩 제거해,2,cleaning,2번 테이블 얼룩을 제거하겠습니다 💦,2
3번 핑키 3 테이블 깨끗이 정리해,3,cleaning,3번 테이블을 깨끗이 정리할게요 ✨,3
4번 핑키 4 테이블 물기 제거해,4,cleaning,4번 테이블 물기를 신속히 제거하겠습니다 💧,4
1번 핑키 5 테이블 주변 청소해,1,cleaning,5번 테이블 주변을 정리하겠습니다 🧽,5
2번 핑키 6 테이블 얼룩 닦아줘,2,cleaning,6번 테이블 얼룩을 깨끗이 닦겠습니다 💦,6
3번 핑키 7 테이블 먼지 제거해,3,cleaning,7번 테이블 먼지를 제거합니다 🧹,7
4번 핑키 8 테이블 바닥 청소해,4,cleaning,8번 테이블 바닥을 말끔히 청소하겠습니다 🧽,8
1번 핑키 9 테이블 정리해줘,1,cleaning,9번 테이블을 정리하겠습니다 ✨,9
2번 핑키 10 테이블 청소 완료해,2,cleaning,10번 테이블 청소 완료했습니다 🧹,10
핑키들 1 테이블 생일 준비해!,"",birthday,1번 테이블 생일 준비 완료하겠습니다 🎂,1
2번 핑키 3 테이블 생일 축하해줘,2,birthday,3번 테이블 손님을 위한 생일 축하를 준비할게요 🎉,3
핑키야 5 테이블 생일 이벤트 시작해,"",birthday,5번 테이블 생일 이벤트를 시작하겠습니다 🎈,5
3번 핑키 2 테이블에 케이크 서빙해줘,3,birthday,2번 테이블로 케이크를 서빙하겠습니다 🎂,2
1번 핑키 4 테이블 생일 노래 틀어줘,1,birthday,4번 테이블에 생일 축하 노래를 틀어드릴게요 🎶,4
핑키들 6 테이블 생일 풍선 달아줘,"",birthday,6번 테이블에 생일 풍선을 달아드리겠습니다 🎈,6
4번 핑키 8 테이블 깜짝 이벤트 해줘,4,birthday,8번 테이블에 깜짝 이벤트를 준비하겠습니다 🎊,8
핑키야 7 테이블 생일 파티 준비,"",birthday,7번 테이블 생일 파티를 준비하겠습니다 🎉,7
2번 핑키 9 테이블 생일 선물 전달해줘,2,birthday,9번 테이블에 생일 선물을 전달하겠습니다 🎁,9
3번 핑키 10 테이블 생일 사진 찍어줘,3,birthday,10번 테이블에서 생일 사진을 촬영하겠습니다 📸,10
1번 핑키 1 테이블 생일 장식 추가해,1,birthday,1번 테이블을 화려하게 장식하겠습니다 🎀,1
2번 핑키 2 테이블 케이크 촛불 켜줘,2,birthday,2번 테이블 케이크 촛불을 켜겠습니다 🕯️,2
3번 핑키 3 테이블 생일 카드 전달해줘,3,birthday,3번 테이블에 생일 카드를 전달할게요 💌,3
4번 핑키 4 테이블 축하 인사 부탁해,4,birthday,4번 테이블에 따뜻한 축하 인사를 드리겠습니다 🌟,4
핑키야 5 테이블 생일 사진 찍자,"",birthday,5번 테이블에서 생일 사진을 찍겠습니다 📸,5
6 테이블 생일 케이크 가져다줘 1번 핑키,1,birthday,6번 테이블로 생일 케이크를 서빙하겠습니다 🎂,6
7 테이블 생일 풍선 달기 2번 핑키,2,birthday,7번 테이블에 생일 풍선을 장식하겠습니다 🎈,7
8 테이블 생일 축하 세팅해 3번 핑키,3,birthday,8번 테이블을 생일 축하 세팅하겠습니다 🎉,8
9 테이블 깜짝 생일 이벤트 해 4번 핑키,4,birthday,9번 테이블에 깜짝 생일 이벤트를 준비하겠습니다 🎊,9
10 테이블 생일송 불러줘 핑키들,"",birthday,10번 테이블 손님을 위해 생일송을 불러드릴게요 🎶,10
1 테이블 생일 파티 모드로 해 1번 핑키,1,birthday,1번 테이블을 생일 파티 분위기로 바꿉니다 🎉,1
2 테이블 생일 케이크 추가 주문 2번 핑키,2,birthday,2번 테이블에 케이크 추가 주문을 반영하겠습니다 🍰,2
